Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,is_full_state,county,state,county_fips,state_fips,state_code,confirmed_yesterday,confirmed_delta_today
"Suffolk County, MA",US,42.3601,-71.0589,2020-03-16,0,0,0,False,Suffolk County,Massachusetts,25025,25,MA,0,0
"Summit County, CO",US,39.5912,-106.064,2020-03-16,0,0,0,False,Summit County,Colorado,08117,08,CO,0,0
"Bergen County, NJ",US,40.9263,-74.077,2020-03-16,0,0,0,False,Bergen County,New Jersey,34003,34,NJ,0,0
"Harris County, TX",US,29.7752,-95.3103,2020-03-16,0,0,0,False,Harris County,Texas,48201,48,TX,0,0
"Island, WA",US,48.1976,-122.5795,2020-03-16,0,0,0,False,Island,Washington,53029,53,WA,0,0
"Hanover, VA",US,37.7772,-77.5161,2020-03-16,0,0,0,False,Hanover,Virginia,51085,51,VA,0,0
"Marin, CA",US,38.0834,-122.7633,2020-03-16,0,0,0,False,Marin,California,06041,06,CA,0,0
"Beadle, SD",US,44.4797,-98.2213,2020-03-16,0,0,0,False,Beadle,South Dakota,46005,46,SD,0,0
"St. Joseph, IN",US,41.6228,-86.3377,2020-03-16,0,0,0,False,St. Joseph,Indiana,18141,18,IN,0,0
"Knox, NE",US,42.6712,-97.8722,2020-03-16,0,0,0,False,Knox,Nebraska,31107,31,NE,0,0
"Stark, OH",US,40.8685,-81.2519,2020-03-16,0,0,0,False,Stark,Ohio,39151,39,OH,0,0
"Anoka, MN",US,45.3293,-93.2197,2020-03-16,0,0,0,False,Anoka,Minnesota,27003,27,MN,0,0
"Olmsted, MN",US,43.9952,-92.3814,2020-03-16,0,0,0,False,Olmsted,Minnesota,27109,27,MN,0,0
"Summit, UT",US,40.8298,-110.9984,2020-03-16,0,0,0,False,Summit,Utah,49043,49,UT,0,0
"Fairfield, CT",US,41.256,-73.3709,2020-03-16,0,0,0,False,Fairfield,Connecticut,09001,09,CT,0,0
"Litchfield, CT",US,41.7866,-73.2765,2020-03-16,0,0,0,False,Litchfield,Connecticut,09005,09,CT,0,0
"Orleans, LA",US,29.9511,-90.0715,2020-03-16,0,0,0,False,Orleans,Louisiana,22071,22,LA,0,0
"Pennington, SD",US,43.8901,-102.2548,2020-03-16,0,0,0,False,Pennington,South Dakota,46103,46,SD,0,0
"Charles Mix, SD",US,43.0985,-98.3965,2020-03-16,0,0,0,False,Charles Mix,South Dakota,46023,46,SD,0,0
"Calaveras, CA",US,38.196,-120.6805,2020-03-16,0,0,0,False,Calaveras,California,06009,06,CA,0,0
"Davison, SD",US,43.7242,-98.2213,2020-03-16,0,0,0,False,Davison,South Dakota,46035,46,SD,0,0
"Minnehaha, SD",US,43.6632,-96.8351,2020-03-16,0,0,0,False,Minnehaha,South Dakota,46099,46,SD,0,0
"Bon Homme, SD",US,42.9815,-97.8722,2020-03-16,0,0,0,False,Bon Homme,South Dakota,46009,46,SD,0,0
"Socorro, NM",US,33.8837,-106.7235,2020-03-16,0,0,0,False,Socorro,New Mexico,35053,35,NM,0,0
"Bernalillo, NM",US,35.0178,-106.6291,2020-03-16,0,0,0,False,Bernalillo,New Mexico,35001,35,NM,0,0
"Oakland, MI",US,42.5922,-83.3362,2020-03-16,0,0,0,False,Oakland,Michigan,26125,26,MI,0,0
"Wayne, MI",US,42.2791,-83.3362,2020-03-16,0,0,0,False,Wayne,Michigan,26163,26,MI,0,0
"New Castle, DE",US,39.5393,-75.6674,2020-03-16,0,0,0,False,New Castle,Delaware,10003,10,DE,0,0
Puerto Rico,US,18.2208,-66.5901,2020-03-16,5,0,0,True,,Puerto Rico,,72,PR,5,0
Guam,US,13.4443,144.7937,2020-03-16,3,0,0,True,,Guam,,66,GU,3,0
"Howard, IN",US,40.4483,-86.1345,2020-03-16,0,0,0,False,Howard,Indiana,18067,18,IN,0,0
"Johnson, IN",US,39.4638,-86.1345,2020-03-16,0,0,0,False,Johnson,Indiana,18081,18,IN,0,0
"Sullivan, TN",US,36.4933,-82.3452,2020-03-16,0,0,0,False,Sullivan,Tennessee,47163,47,TN,0,0
"Lancaster, SC",US,34.7253,-80.6771,2020-03-16,0,0,0,False,Lancaster,South Carolina,45057,45,SC,0,0
"Stanislaus, CA",US,37.5091,-120.9876,2020-03-16,0,0,0,False,Stanislaus,California,06099,06,CA,0,0
"San Joaquin, CA",US,36.6066,-120.189,2020-03-16,0,0,0,False,San Joaquin,California,06077,06,CA,0,0
"Essex, MA",US,42.632,-70.7829,2020-03-16,0,0,0,False,Essex,Massachusetts,25009,25,MA,0,0
"Charlton, GA",US,30.7917,-82.0843,2020-03-16,0,0,0,False,Charlton,Georgia,13049,13,GA,0,0
"Collier, FL",US,26.07,-81.4279,2020-03-16,0,0,0,False,Collier,Florida,12021,12,FL,0,0
"Pinellas, FL",US,27.8764,-82.7779,2020-03-16,0,0,0,False,Pinellas,Florida,12103,12,FL,0,0
"Alachua, FL",US,29.7938,-82.4944,2020-03-16,0,0,0,False,Alachua,Florida,12001,12,FL,0,0
"Nassau, FL",US,30.5927,-81.8224,2020-03-16,0,0,0,False,Nassau,Florida,12089,12,FL,0,0
"Pasco, FL",US,28.3232,-82.4319,2020-03-16,0,0,0,False,Pasco,Florida,12101,12,FL,0,0
"Dallas, TX",US,32.7767,-96.79700000000001,2020-03-16,0,0,0,False,Dallas,Texas,48113,48,TX,0,0
"Tarrant, TX",US,32.7732,-97.3517,2020-03-16,0,0,0,False,Tarrant,Texas,48439,48,TX,0,0
"Montgomery, TX",US,30.3883,-95.6963,2020-03-16,0,0,0,False,Montgomery,Texas,48339,48,TX,0,0
"Middlesex, NJ",US,40.5726,-74.4927,2020-03-16,0,0,0,False,Middlesex,New Jersey,34023,34,NJ,0,0
"Jefferson, CO",US,39.58,-105.2663,2020-03-16,0,0,0,False,Jefferson,Colorado,08059,08,CO,0,0
"Multnomah, OR",US,45.5146,-122.5863,2020-03-16,0,0,0,False,Multnomah,Oregon,41051,41,OR,0,0
"Polk, OR",US,44.9267,-123.4919,2020-03-16,0,0,0,False,Polk,Oregon,41053,41,OR,0,0
"Deschutes, OR",US,43.8325,-121.2617,2020-03-16,0,0,0,False,Deschutes,Oregon,41017,41,OR,0,0
"McHenry, IL",US,42.3334,-88.2668,2020-03-16,0,0,0,False,McHenry,Illinois,17111,17,IL,0,0
"Lake, IL",US,42.3689,-87.8272,2020-03-16,0,0,0,False,Lake,Illinois,17097,17,IL,0,0
"Bucks, PA",US,40.4108,-75.2479,2020-03-16,0,0,0,False,Bucks,Pennsylvania,42017,42,PA,0,0
"Delaware County, PA",US,39.9078,-75.3879,2020-03-16,0,0,0,False,Delaware County,Pennsylvania,42045,42,PA,0,0
"Douglas County, NE",US,41.3148,-96.1951,2020-03-16,0,0,0,False,Douglas County,Nebraska,31055,31,NE,0,0
"Montgomery County, PA",US,40.229,-75.3879,2020-03-16,0,0,0,False,Montgomery County,Pennsylvania,42091,42,PA,0,0
"Chatham County, NC",US,35.7211,-79.1781,2020-03-16,0,0,0,False,Chatham County,North Carolina,37037,37,NC,0,0
"Camden, NC",US,34.2465,-80.607,2020-03-16,0,0,0,False,Camden,North Carolina,37029,37,NC,0,0
"Gunnison, CO",US,38.5458,-106.9253,2020-03-16,0,0,0,False,Gunnison,Colorado,08051,08,CO,0,0
"Kane, IL",US,41.9879,-88.4016,2020-03-16,0,0,0,False,Kane,Illinois,17089,17,IL,0,0
"Monroe, PA",US,41.0458,-75.2479,2020-03-16,0,0,0,False,Monroe,Pennsylvania,42089,42,PA,0,0
"Philadelphia, PA",US,39.9526,-75.1652,2020-03-16,0,0,0,False,Philadelphia,Pennsylvania,42101,42,PA,0,0
"Norfolk, VA",US,36.8508,-76.2859,2020-03-16,0,0,0,False,Norfolk,Virginia,,51,VA,0,0
"Arlington, VA",US,38.8816,-77.09100000000001,2020-03-16,0,0,0,False,Arlington,Virginia,51013,51,VA,0,0
"Spotsylvania, VA",US,38.2042,-77.6078,2020-03-16,0,0,0,False,Spotsylvania,Virginia,51177,51,VA,0,0
"Loudoun, VA",US,39.0768,-77.6536,2020-03-16,0,0,0,False,Loudoun,Virginia,51107,51,VA,0,0
"Prince George's, MD",US,38.7849,-76.8721,2020-03-16,0,0,0,False,Prince George's,Maryland,,24,MD,0,0
"Pottawattamie, IA",US,41.3912,-95.4778,2020-03-16,0,0,0,False,Pottawattamie,Iowa,19155,19,IA,0,0
"Pima, AZ",US,32.0575,-111.6661,2020-03-16,0,0,0,False,Pima,Arizona,04019,04,AZ,0,0
"Providence County, RI",US,41.8882,-71.4774,2020-03-16,0,0,0,False,Providence County,Rhode Island,44007,44,RI,0,0
"Noble, IN",US,41.4277,-85.355,2020-03-16,0,0,0,False,Noble,Indiana,18113,18,IN,0,0
"Adams, IN",US,39.8522,-77.2865,2020-03-16,0,0,0,False,Adams,Indiana,18001,18,IN,0,0
"Boone, IN",US,40.0106,-86.4997,2020-03-16,0,0,0,False,Boone,Indiana,18011,18,IN,0,0
"Dane, WI",US,43.0186,-89.5498,2020-03-16,0,0,0,False,Dane,Wisconsin,55025,55,WI,0,0
"Pierce, WI",US,44.7509,-92.3814,2020-03-16,0,0,0,False,Pierce,Wisconsin,55093,55,WI,0,0
"Cuyahoga, OH",US,41.4339,-81.6758,2020-03-16,0,0,0,False,Cuyahoga,Ohio,39035,39,OH,0,0
"Weber, UT",US,41.2603,-111.9522,2020-03-16,0,0,0,False,Weber,Utah,49057,49,UT,0,0
"Bennington County, VT",US,43.0279,-73.135,2020-03-16,0,0,0,False,Bennington County,Vermont,50003,50,VT,0,0
"Carver County, MN",US,44.8254,-93.7842,2020-03-16,0,0,0,False,Carver County,Minnesota,27019,27,MN,0,0
"Charlotte County, FL",US,26.8946,-81.9098,2020-03-16,0,0,0,False,Charlotte County,Florida,12015,12,FL,0,0
"Arapahoe, CO",US,39.6203,-104.3326,2020-03-16,0,0,0,False,Arapahoe,Colorado,08005,08,CO,0,0
"Larimer, CO",US,40.6956,-105.5943,2020-03-16,0,0,0,False,Larimer,Colorado,08069,08,CO,0,0
"Eagle, CO",US,39.6553,-106.8287,2020-03-16,0,0,0,False,Eagle,Colorado,08037,08,CO,0,0
"Union, NJ",US,40.6976,-74.2632,2020-03-16,0,0,0,False,Union,New Jersey,34039,34,NJ,0,0
Alaska,US,61.3707,-152.4044,2020-03-16,1,0,0,True,,Alaska,,02,AK,1,0
Idaho,US,44.2405,-114.4788,2020-03-16,5,0,0,True,,Idaho,,16,ID,5,0
Montana,US,46.9219,-110.4544,2020-03-16,7,0,0,True,,Montana,,30,MT,7,0
North Dakota,US,47.5289,-99.78399999999999,2020-03-16,1,0,0,True,,North Dakota,,38,ND,1,0
West Virginia,US,38.4912,-80.9545,2020-03-16,0,0,0,True,,West Virginia,,54,WV,0,0
Wyoming,US,42.756,-107.3025,2020-03-16,3,0,0,True,,Wyoming,,56,WY,3,0
"Kitsap, WA",US,47.6477,-122.6413,2020-03-16,0,0,0,False,Kitsap,Washington,53035,53,WA,0,0
"Solano, CA",US,38.3105,-121.9018,2020-03-16,0,0,0,False,Solano,California,06095,06,CA,0,0
"Santa Cruz, CA",US,37.0454,-121.958,2020-03-16,0,0,0,False,Santa Cruz,California,06087,06,CA,0,0
"Napa, CA",US,38.5025,-122.2654,2020-03-16,0,0,0,False,Napa,California,06055,06,CA,0,0
"Ventura, CA",US,34.3705,-119.1391,2020-03-16,0,0,0,False,Ventura,California,06111,06,CA,0,0
"Worcester, MA",US,42.4097,-71.8571,2020-03-16,0,0,0,False,Worcester,Massachusetts,25027,25,MA,0,0
"Gwinnett, GA",US,33.9191,-84.0167,2020-03-16,0,0,0,False,Gwinnett,Georgia,13135,13,GA,0,0
"DeKalb, GA",US,33.7956,-84.2279,2020-03-16,0,0,0,False,DeKalb,Georgia,,13,GA,0,0
"Floyd, GA",US,37.5455,-82.7779,2020-03-16,0,0,0,False,Floyd,Georgia,13115,13,GA,0,0
"Fayette, GA",US,33.4502,-84.4803,2020-03-16,0,0,0,False,Fayette,Georgia,13113,13,GA,0,0
"Gregg, TX",US,32.4893,-94.8521,2020-03-16,0,0,0,False,Gregg,Texas,48183,48,TX,0,0
"Monmouth, NJ",US,40.2589,-74.124,2020-03-16,0,0,0,False,Monmouth,New Jersey,34025,34,NJ,0,0
"Burlington, NJ",US,40.0712,-74.8649,2020-03-16,0,0,0,False,Burlington,New Jersey,34005,34,NJ,0,0
"Camden, NJ",US,39.9259,-75.1196,2020-03-16,0,0,0,False,Camden,New Jersey,34007,34,NJ,0,0
"Passaic, NJ",US,40.8568,-74.1285,2020-03-16,0,0,0,False,Passaic,New Jersey,34031,34,NJ,0,0
"Cherokee County, GA",US,34.2515,-84.4803,2020-03-16,0,0,0,False,Cherokee County,Georgia,13057,13,GA,0,0
"Collin County, TX",US,33.1795,-96.493,2020-03-16,0,0,0,False,Collin County,Texas,48085,48,TX,0,0
"Jefferson County, KY",US,38.1938,-85.6435,2020-03-16,0,0,0,False,Jefferson County,Kentucky,21111,21,KY,0,0
"Fairfax County, VA",US,38.9085,-77.2405,2020-03-16,0,0,0,False,Fairfax County,Virginia,51059,51,VA,0,0
"Washington, D.C.",US,38.9072,-77.0369,2020-03-16,0,0,0,False,Washington,,,,,0,0
"Alameda County, CA",US,37.6017,-121.7195,2020-03-16,0,0,0,False,Alameda County,California,06001,06,CA,0,0
"Broward County, FL",US,26.1901,-80.3659,2020-03-16,0,0,0,False,Broward County,Florida,12011,12,FL,0,0
"Lee County, FL",US,26.663,-81.9535,2020-03-16,0,0,0,False,Lee County,Florida,12071,12,FL,0,0
"Pinal County, AZ",US,32.8162,-111.2845,2020-03-16,0,0,0,False,Pinal County,Arizona,04021,04,AZ,0,0
"Rockland County, NY",US,41.1489,-73.983,2020-03-16,0,0,0,False,Rockland County,New York,36087,36,NY,0,0
"Saratoga County, NY",US,43.0324,-73.936,2020-03-16,0,0,0,False,Saratoga County,New York,36091,36,NY,0,0
"Charleston County, SC",US,32.7957,-79.7848,2020-03-16,0,0,0,False,Charleston County,South Carolina,45019,45,SC,0,0
"Clark County, WA",US,45.7466,-122.5194,2020-03-16,0,0,0,False,Clark County,Washington,53011,53,WA,0,0
"Cobb County, GA",US,33.8999,-84.5641,2020-03-16,0,0,0,False,Cobb County,Georgia,13067,13,GA,0,0
"Davis County, UT",US,40.9629,-112.0953,2020-03-16,0,0,0,False,Davis County,Utah,49011,49,UT,0,0
"El Paso County, CO",US,38.9108,-104.4723,2020-03-16,0,0,0,False,El Paso County,Colorado,08041,08,CO,0,0
"Honolulu County, HI",US,21.307,-157.8584,2020-03-16,0,0,0,False,Honolulu County,Hawaii,15003,15,HI,0,0
"Jackson County, OR",US,42.3345,-122.7647,2020-03-16,0,0,0,False,Jackson County,Oregon,41029,41,OR,0,0
"Jefferson County, WA",US,47.7425,-123.304,2020-03-16,0,0,0,False,Jefferson County,Washington,53031,53,WA,0,0
"Kershaw County, SC",US,34.3672,-80.5883,2020-03-16,0,0,0,False,Kershaw County,South Carolina,45055,45,SC,0,0
"Klamath County, OR",US,42.6953,-121.6142,2020-03-16,0,0,0,False,Klamath County,Oregon,41035,41,OR,0,0
"Madera County, CA",US,37.2519,-119.6963,2020-03-16,0,0,0,False,Madera County,California,06039,06,CA,0,0
"Pierce County, WA",US,47.0676,-122.1295,2020-03-16,0,0,0,False,Pierce County,Washington,53053,53,WA,0,0
"Tulsa County, OK",US,36.1593,-95.941,2020-03-16,0,0,0,False,Tulsa County,Oklahoma,40143,40,OK,0,0
"Douglas County, CO",US,39.2587,-104.9389,2020-03-16,0,0,0,False,Douglas County,Colorado,08035,08,CO,0,0
"Rockingham County, NH",US,42.9931,-71.0498,2020-03-16,0,0,0,False,Rockingham County,New Hampshire,33015,33,NH,0,0
"Volusia County, FL",US,29.028000000000002,-81.0755,2020-03-16,0,0,0,False,Volusia County,Florida,12127,12,FL,0,0
"Jefferson Parish, LA",US,29.6499,-90.1121,2020-03-16,0,0,0,False,Jefferson Parish,Louisiana,22051,22,LA,0,0
"Ulster County, NY",US,41.8586,-74.3118,2020-03-16,0,0,0,False,Ulster County,New York,36111,36,NY,0,0
"Shasta County, CA",US,40.7909,-121.8474,2020-03-16,0,0,0,False,Shasta County,California,06089,06,CA,0,0
"Spartanburg County, SC",US,34.8606,-81.9535,2020-03-16,0,0,0,False,Spartanburg County,South Carolina,45083,45,SC,0,0
"Harrison County, KY",US,38.4333,-84.3542,2020-03-16,0,0,0,False,Harrison County,Kentucky,21097,21,KY,0,0
"Johnson County, IA",US,41.6699,-91.5984,2020-03-16,0,0,0,False,Johnson County,Iowa,19103,19,IA,0,0
"Berkshire County, MA",US,42.3118,-73.1822,2020-03-16,0,0,0,False,Berkshire County,Massachusetts,25003,25,MA,0,0
"Davidson County, TN",US,36.1343,-86.822,2020-03-16,0,0,0,False,Davidson County,Tennessee,47037,47,TN,0,0
"Douglas County, OR",US,43.1261,-123.2492,2020-03-16,0,0,0,False,Douglas County,Oregon,41019,41,OR,0,0
"Fresno County, CA",US,36.9859,-119.2321,2020-03-16,0,0,0,False,Fresno County,California,06019,06,CA,0,0
"Harford County, MD",US,39.5839,-76.3637,2020-03-16,0,0,0,False,Harford County,Maryland,24025,24,MD,0,0
"Hendricks County, IN",US,39.8065,-86.5401,2020-03-16,0,0,0,False,Hendricks County,Indiana,18063,18,IN,0,0
"Hudson County, NJ",US,40.7453,-74.0535,2020-03-16,0,0,0,False,Hudson County,New Jersey,34017,34,NJ,0,0
"Johnson County, KS",US,38.8454,-94.8521,2020-03-16,0,0,0,False,Johnson County,Kansas,20091,20,KS,0,0
"Kittitas County, WA",US,47.175,-120.9319,2020-03-16,0,0,0,False,Kittitas County,Washington,53037,53,WA,0,0
"Manatee County, FL",US,27.4799,-82.3452,2020-03-16,0,0,0,False,Manatee County,Florida,12081,12,FL,0,0
"Marion County, OR",US,44.8446,-122.5927,2020-03-16,0,0,0,False,Marion County,Oregon,41047,41,OR,0,0
"Okaloosa County, FL",US,30.5773,-86.6611,2020-03-16,0,0,0,False,Okaloosa County,Florida,12091,12,FL,0,0
"Polk County, GA",US,34.0132,-85.1479,2020-03-16,0,0,0,False,Polk County,Georgia,13233,13,GA,0,0
"Riverside County, CA",US,33.9533,-117.3961,2020-03-16,0,0,0,False,Riverside County,California,06065,06,CA,0,0
"Shelby County, TN",US,35.1269,-89.9253,2020-03-16,0,0,0,False,Shelby County,Tennessee,47157,47,TN,0,0
"St. Louis County, MO",US,38.6103,-90.4125,2020-03-16,0,0,0,False,St. Louis County,Missouri,29189,29,MO,0,0
"Suffolk County, NY",US,40.9849,-72.6151,2020-03-16,0,0,0,False,Suffolk County,New York,36103,36,NY,0,0
Virgin Islands,US,18.3358,-64.8963,2020-03-16,1,0,0,True,,Virgin Islands,,78,VI,1,0
